Time resolution is 1 ps
Starting simulation...
Time:             17376000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17626000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             17960000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18126000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18376000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18543000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18626000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             18877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             19043000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             19293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             19543000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             19627000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             19793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             19877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             20210000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             20293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             20543000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             20710000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             20793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             21127000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             21210000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             21460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             21627000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             21710000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             21877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22043000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22210000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22293000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22543000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22627000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22793000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             22960000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             23044000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             23127000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             23294000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             23377000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             23627000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             24044000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             24127000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             24377000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             24877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             25460000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             25544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             26210000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             26377000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             26544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             26877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             26960000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             27461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             27544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             27711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             27794000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             28127000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             28544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             28627000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             28877000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             28961000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29044000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29377000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             29794000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             30127000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             30461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             30544000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31127000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31211000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31294000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31378000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31461000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31628000 | TX Debug = 0xzX | XADC Debug = 0xzZ
Time:             31711000 | TX Debug = 0xzX | XADC Debug = 0xzZ
